Image_Idx,Method,Sparsity_Gini,Coherence_TV,Robustness,Deletion_AUC
6180,CBAM_Attention,0.46850361025129983,0.0071621001983175475,0.001337950812706274,0.41127896
6180,Grad_CAM,0.6667369631686955,0.008536687919071742,0.0021713346055110493,0.08962762
6180,Score_CAM,0.6896542032565919,0.007906256281599706,0.0011320775654973772,0.087611236
6180,Integrated_Grad,0.5658672736444219,0.0368811305688352,0.002700188297444528,0.10936855
6180,RISE,0.16440969001111727,0.03272250720432827,0.011900255780279166,0.34850878
6180,Hibrido,0.656220651702591,0.04199311198020468,0.004472506076790665,0.083910294
6181,CBAM_Attention,0.42399497913018414,0.006493354330257494,0.0017664688373863003,0.52949685
6181,Grad_CAM,0.7517756254362992,0.006801702538315131,0.0012316028647651853,0.20318231
6181,Score_CAM,0.6216944019052403,0.00913072909627642,0.0031769340176035638,0.19204168
6181,Integrated_Grad,0.6133110908927805,0.025477569930407465,0.001758112340731173,0.2747407
6181,RISE,0.15918914495694306,0.034990361758640835,0.009744873117581739,0.6029628
6181,Hibrido,0.7173328820053384,0.02598461812856246,0.0022479251794834975,0.20850322
6183,CBAM_Attention,0.4948032704771756,0.00784088032586234,0.002445781078338393,0.5643835
6183,Grad_CAM,0.7198440065088758,0.008215005300482926,0.0031761190141994886,0.28029123
6183,Score_CAM,0.6652183259602582,0.008669794822225765,0.002586258349311159,0.26517886
6183,Integrated_Grad,0.5277980711330725,0.048503710299122094,0.0028961533219155904,0.29016367
6183,RISE,0.1667779311401859,0.03867252262271181,0.00948480086760993,0.36047336
6183,Hibrido,0.6925835917922646,0.035391620227268765,0.002562150874606819,0.28168106
6184,CBAM_Attention,0.45772786422343775,0.007013392691709557,0.003798477392552252,0.4923492
6184,Grad_CAM,0.5753230188326297,0.008010529133738304,0.0060781208169823995,0.18554701
6184,Score_CAM,0.6148870277304646,0.00807873570189184,0.006937644091610384,0.15815397
6184,Integrated_Grad,0.5509025925993893,0.04233287305248027,0.002960305308477471,0.31440574
6184,RISE,0.2016582496711229,0.03185595298299984,0.008848308791420846,0.33161697
6184,Hibrido,0.5847103107549744,0.06338591964877381,0.005297637161099538,0.19759129
